Name,Gold
Moshoties,6663
Vixcent,6660
Ohlaugh,6656
Lanterna,6652
Tylenol,6644
Buulvine,6639
Floompa,6637
Arche,6630
Vergo,6629
Makman,6624
Ampula,6620
Woskvich,6614
Elchampion,6610
Capcook,6610
Icad,6604
Mzry,6599
Hzdante,6583
Blewberry,6575
Yamakaze,6575
Shreck,6552
Bazook,6550
Penguin,6549
Crocon,6548
Luciferm,6546
Bto,6527
Zeki,6514
Sarah,6506
Toejam,6502
Bungo,6499
Dontfukpls,6480
Pyonpyon,6478
Luucas,6478
Chasechamp,6470
Cst,6464
Zoxerta,6458
Saremn,6456
Berriez,6452
Tupshmar,6443
Grocott,6434
Disdowns,6430
Philsy,6423
Ayako,6420
Later,6414
Agronach,6412
Bebuk,6407
Tiagopp,6403
Suisse,6403
Spens,6399
Brscout,6395
Bambook,6392
Chakrailla,6391
Killaman,6379
Marinela,6376
Rosterfish,6375
Bezrai,6370
Kghlofky,6368
Renatosgf,6357
Skulki,6354
Jeenge,6350
Jackgross,6340
Chocochip,6339
Dab,6338
Gretful,6335
